1: [("T", 1.000000), ("L", 0.034510), ("F", 0.029356), ("J", 0.013575), ("P", 0.009815), ("Y", 0.008507), ("X", 0.007730), ("E", 0.007078), ("S", 0.006719), ("C", 0.006679), ("Ñ", 0.006289), ("R", 0.006022), ("Z", 0.005909), ("K", 0.005572), ("I", 0.005523), ("V", 0.005439), ("A", 0.005301), ("U", 0.004781), ("N", 0.004174), ("B", 0.003168), ("G", 0.003149), ("W", 0.003047), ("Q", 0.003000), ("H", 0.002809), ("D", 0.002532), ("O", 0.002456), ("M", 0.001721)]
2: [("E", 1.000000), ("S", 0.100004), ("Z", 0.021555), ("R", 0.016769), ("X", 0.015047), ("Ñ", 0.013097), ("K", 0.012608), ("P", 0.012378), ("F", 0.008852), ("C", 0.008486), ("T", 0.007078), ("L", 0.006985), ("U", 0.005771), ("J", 0.005511), ("B", 0.005437), ("I", 0.004825), ("Q", 0.004743), ("N", 0.004731), ("Y", 0.004639), ("G", 0.004196), ("H", 0.004091), ("V", 0.003782), ("A", 0.003738), ("D", 0.003595), ("W", 0.003557), ("O", 0.003109), ("M", 0.002081)]
3: [("Q", 1.000000), ("B", 0.021472), ("H", 0.020112), ("D", 0.014293), ("G", 0.008045), ("K", 0.006442), ("O", 0.006379), ("R", 0.005931), ("Ñ", 0.005651), ("U", 0.005153), ("W", 0.004919), ("X", 0.004858), ("S", 0.004805), ("C", 0.004799), ("N", 0.004780), ("E", 0.004743), ("Z", 0.004533), ("P", 0.004250), ("M", 0.003581), ("F", 0.003329), ("L", 0.003098), ("T", 0.003000), ("Y", 0.002825), ("V", 0.002712), ("A", 0.002710), ("J", 0.002579), ("I", 0.002440)]
4: [("U", 1.000000), ("N", 0.025571), ("C", 0.015416), ("Ñ", 0.010134), ("K", 0.009447), ("X", 0.008907), ("G", 0.008345), ("R", 0.008280), ("W", 0.008275), ("P", 0.008272), ("E", 0.005771), ("Y", 0.005642), ("A", 0.005634), ("V", 0.005625), ("S", 0.005578), ("F", 0.005538), ("L", 0.005367), ("H", 0.005251), ("Q", 0.005153), ("B", 0.004850), ("O", 0.004834), ("T", 0.004781), ("Z", 0.004639), ("D", 0.004310), ("J", 0.003566), ("I", 0.002786), ("M", 0.002595)]
5: [("I", 1.000000), ("J", 0.007915), ("T", 0.005523), ("Z", 0.005256), ("F", 0.005179), ("S", 0.004830), ("E", 0.004825), ("L", 0.004798), ("P", 0.004178), ("X", 0.003991), ("R", 0.003788), ("Ñ", 0.003649), ("K", 0.003526), ("C", 0.003388), ("Y", 0.003378), ("U", 0.002786), ("V", 0.002754), ("A", 0.002717), ("B", 0.002668), ("N", 0.002531), ("Q", 0.002440), ("G", 0.002257), ("H", 0.002232), ("W", 0.002098), ("D", 0.002089), ("O", 0.001895), ("M", 0.001460)]
6: [("E", 1.000000), ("S", 0.100004), ("Z", 0.021555), ("R", 0.016769), ("X", 0.015047), ("Ñ", 0.013097), ("K", 0.012608), ("P", 0.012378), ("F", 0.008852), ("C", 0.008486), ("T", 0.007078), ("L", 0.006985), ("U", 0.005771), ("J", 0.005511), ("B", 0.005437), ("I", 0.004825), ("Q", 0.004743), ("N", 0.004731), ("Y", 0.004639), ("G", 0.004196), ("H", 0.004091), ("V", 0.003782), ("A", 0.003738), ("D", 0.003595), ("W", 0.003557), ("O", 0.003109), ("M", 0.002081)]
7: [("R", 1.000000), ("K", 0.048189), ("Ñ", 0.039059), ("X", 0.023515), ("E", 0.016769), ("S", 0.015830), ("P", 0.013835), ("C", 0.012954), ("Z", 0.010305), ("U", 0.008280), ("F", 0.007499), ("B", 0.006584), ("L", 0.006337), ("N", 0.006320), ("T", 0.006022), ("Q", 0.005931), ("G", 0.005549), ("H", 0.005121), ("Y", 0.004812), ("J", 0.004516), ("W", 0.004480), ("D", 0.004306), ("V", 0.004101), ("A", 0.004065), ("I", 0.003788), ("O", 0.003773), ("M", 0.002334)]
8: [("O", 1.000000), ("G", 0.011028), ("H", 0.009209), ("D", 0.008528), ("W", 0.008277), ("Q", 0.006379), ("M", 0.005559), ("N", 0.005200), ("B", 0.004954), ("U", 0.004834), ("K", 0.004070), ("Ñ", 0.003868), ("C", 0.003862), ("R", 0.003773), ("X", 0.003493), ("P", 0.003242), ("E", 0.003109), ("S", 0.003099), ("Z", 0.002881), ("A", 0.002736), ("V", 0.002722), ("F", 0.002662), ("Y", 0.002624), ("L", 0.002580), ("T", 0.002456), ("J", 0.002107), ("I", 0.001895)]
